Date,Open,High,Low,Close,Adj Close,Volume,Suggestion
20/02/2019,144.350006,144.839996,143.520004,144.729996,141.800842,5283100,Sell
21/02/2019,144.350006,145.029999,143.179993,144,141.085632,8573400,Buy
22/02/2019,144.419998,146.279999,144.419998,145.869995,142.917755,9680800,Sell
25/02/2019,146.910004,147.199997,145.809998,146.059998,143.103912,9731200,Buy
26/02/2019,145.199997,147.399994,145.020004,147.039993,144.064087,7332500,Sell
27/02/2019,146.5,147.490005,145.919998,147.220001,144.240448,9731200,Sell
28/02/2019,147.259995,148.820007,147.229996,148.119995,145.122223,6250200,Sell
01/03/2019,149.460007,149.929993,148.380005,149.470001,146.444901,7016800,Sell
04/03/2019,150.070007,150.190002,146.949997,147.960007,144.965454,6979700,Buy
05/03/2019,148,149.289993,147.830002,147.949997,144.955658,9678600,Buy
06/03/2019,148,148.520004,147.419998,147.809998,144.818497,8186400,Buy
07/03/2019,147.259995,147.809998,146.039993,146.830002,143.858337,8761700,Buy
08/03/2019,145.440002,147.479996,144.5,147.350006,144.367844,5168100,Sell
11/03/2019,148.110001,150.970001,148.020004,150.669998,147.620621,9361500,Sell
12/03/2019,151,153.139999,150.869995,151.729996,148.65918,9465100,Sell
13/03/2019,152.300003,154.039993,152.039993,152.470001,149.384216,8308900,Sell
14/03/2019,152.559998,154.690002,152.300003,154.199997,151.079163,9364900,Sell
15/03/2019,153.720001,156.820007,153.360001,155.460007,152.313644,20162000,Sell
18/03/2019,155.919998,156.410004,154.419998,154.960007,151.823807,9689400,Buy
19/03/2019,155.949997,155.949997,154.139999,154.589996,151.461304,9236100,Buy
20/03/2019,154.339996,154.869995,152.710007,153.75,150.638275,6391400,Buy
21/03/2019,153.320007,156.679993,153.309998,155.800003,152.64679,7027100,Sell
22/03/2019,154.990005,155.679993,152.850006,153.070007,149.972031,8119800,Buy
25/03/2019,152.360001,154.059998,151.539993,153.029999,149.932846,7568000,Sell
26/03/2019,153.770004,155.600006,153.770004,155.300003,152.156891,15594400,Sell
27/03/2019,155.470001,155.860001,153.360001,154.220001,151.098785,12253800,Buy
28/03/2019,154.929993,155.080002,153.610001,154.669998,151.539658,16902200,Buy
29/03/2019,155.729996,156.289993,154.929993,156.190002,153.028931,12164400,Sell
01/04/2019,157.529999,157.729996,156.550003,157.259995,154.077271,6420100,Buy
02/04/2019,157.660004,158.149994,156.75,157.779999,154.586731,6215100,Sell
03/04/2019,158.550003,159.110001,157.850006,158.460007,155.25296,8209300,Buy
04/04/2019,158.529999,158.690002,156.529999,157.639999,154.44957,5100200,Buy
05/04/2019,158,158.630005,157.229996,157.649994,154.459351,4178300,Buy
08/04/2019,157.550003,157.850006,156.320007,157.75,154.557312,5604700,Sell
09/04/2019,156.559998,157.990005,156.470001,157.490005,154.302582,6364100,Sell
10/04/2019,157.990005,158.779999,157.520004,158.559998,155.350937,3918600,Sell
11/04/2019,159.110001,159.300003,157.440002,157.860001,154.6651,5771400,Buy
12/04/2019,158.710007,159.639999,157.860001,159.639999,156.409088,6745100,Sell
